PMID,Title,Authors,Citation,First.Author,Journal.Book,Publication.Year,Create.Date,PMCID,NIHMS.ID,DOI,type,subset
40317496,European Guideline (EuroGuiDerm) on atopic eczema: Living update,"Wollenberg A, Kinberger M, Arents B, Aszodi N, Barbarot S, Bieber T, Brough HA, Calzavara-Pinton P, Christen-Zaech S, Deleuran M, Dittmann M, Fosse N, Gáspár K, Gerbens LAA, Gieler U, Girolomoni G, Gregoriou S, Holland S, Mortz CG, Nast A, Nygaard U, Rehbinder EM, Ring J, Rossi M, Serra-Baldrich E, Simon D, Szalai ZZ, Szepietowski JC, Torrelo A, Werfel T, Werner RN, Flohr C.",J Eur Acad Dermatol Venereol. 2025 Sep;39(9):1537-1566. doi: 10.1111/jdv.20639. Epub 2025 May 2.,Wollenberg A,J Eur Acad Dermatol Venereol,2025,5/3/25,PMC12376260,,10.1111/jdv.20639,pubmed_pmc,all
39713942,"Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care","Atri A, Dickerson BC, Clevenger C, Karlawish J, Knopman D, Lin PJ, Norman M, Onyike C, Sano M, Scanland S, Carrillo M.",Alzheimers Dement. 2025 Jun;21(6):e14333. doi: 10.1002/alz.14333. Epub 2024 Dec 23.,Atri A,Alzheimers Dement,2025,12/23/24,PMC12173843,,10.1002/alz.14333,pubmed_pmc,all
40353298,"The formal EU-US Meniscus Rehabilitation 2024 Consensus: An ESSKA-AOSSM-AASPT initiative. Part I-Rehabilitation management after meniscus surgery (meniscectomy, repair and reconstruction)","Pujol N, Giordano AO, Wong SE, Beaufils P, Monllau JC, Arhos EK, Becker R, Della Villa F, Brett Goodloe J, Irrgang JJ, Klugarova J, Klosterman EL, Królikowska A, Krych AJ, LaPrade RF, Manske R, van Melick N, Monson JK, Ostojic M, Paterno MV, Piontek T, Perelli S, Rambaud A, Robinson J, Schmitt LC, Senorski EH, Snaebjornsson T, Tagliero AJ, Benjamin Ma C, Prill R.",Knee Surg Sports Traumatol Arthrosc. 2025 Aug;33(8):3002-3013. doi: 10.1002/ksa.12674. Epub 2025 May 12.,Pujol N,Knee Surg Sports Traumatol Arthrosc,2025,5/12/25,PMC12310086,,10.1002/ksa.12674,pubmed_pmc,all
39754724,European Guideline on Chronic Nausea and Vomiting-A UEG and ESNM Consensus for Clinical Management,"Malagelada C, Keller J, Sifrim D, Serra J, Tack J, Mulak A, Stengel A, Aguilar A, Drewes AM, Josefsson A, Bonaz B, Dumitrascu D, Keszthelyi D, Barba E, Carbone F, Zerbib F, Marchegiani G, Hauser G, Gourcerol G, Tornblom H, Hammer H, Aziz I, Matic JR, Mendive J, Nikaki K, Wauters L, Alcalá-González LG, Waluga M, Jinga M, Corsetti M, Rommel N, Shidrawi R, De Giorgio R, Kadirkamanathan S, Surdea-Blaga T.",United European Gastroenterol J. 2025 Apr;13(3):427-471. doi: 10.1002/ueg2.12711. Epub 2025 Jan 4.,Malagelada C,United European Gastroenterol J,2025,1/4/25,PMC11999049,,10.1002/ueg2.12711,pubmed_pmc,all
40448969,"2025 Guidelines for direct oral anticoagulants: a practical guidance on the prescription, laboratory testing, peri-operative and bleeding management","Tran HA, Merriman E, Baker R, Curnow J, Young L, Tan CW, McRae S, Chunilal SD.",Intern Med J. 2025 Jul;55(7):1174-1183. doi: 10.1111/imj.70103. Epub 2025 May 31.,Tran HA,Intern Med J,2025,5/31/25,PMC12240022,,10.1111/imj.70103,pubmed_pmc,all
40090863,The Australasian Society of Parenteral and Enteral Nutrition: Consensus statements on refeeding syndrome,"Matthews-Rensch K, Blackwood K, Lawlis D, Breik L, McLean C, Nguyen T, Phillips S, Small K, Stewart T, Thatcher A, Venkat L, Brodie E, Cleeve B, Diamond L, Ng MY, Small A, Viner Smith E, Asrani V.",Nutr Diet. 2025 Apr;82(2):128-142. doi: 10.1111/1747-0080.70003. Epub 2025 Mar 16.,Matthews-Rensch K,Nutr Diet,2025,3/16/25,PMC11973624,,10.1111/1747-0080.70003,pubmed_pmc,all
39794284,Dent disease: clinical practice recommendations,"Bökenkamp A, Ariceta G, Böckenhauer D, Devuyst O, Emma F, van Bennekom D, Levtchenko E, Sayer J, Servais A, Vargas R, Zaniew M, Prikhodina L.",Nephrol Dial Transplant. 2025 Apr 28;40(5):852-864. doi: 10.1093/ndt/gfaf003.,Bökenkamp A,Nephrol Dial Transplant,2025,1/10/25,PMC12209860,,10.1093/ndt/gfaf003,pubmed_pmc,all
40729527,Alzheimer's Association Clinical Practice Guideline on the use of blood-based biomarkers in the diagnostic workup of suspected Alzheimer's disease within specialized care settings,"Palmqvist S, Whitson HE, Allen LA, Suarez-Calvet M, Galasko D, Karikari TK, Okrahvi HR, Paczynski M, Schindler SE, Teunissen CE, Zetterberg H, Carrillo MC, Edelmayer RM, Mahinrad S, McAteer MB, Kahale LA, Pahlke S, Tampi MP.",Alzheimers Dement. 2025 Jul;21(7):e70535. doi: 10.1002/alz.70535.,Palmqvist S,Alzheimers Dement,2025,7/29/25,PMC12306682,,10.1002/alz.70535,pubmed_pmc,all
40228835,Managing obesity in children: a clinical practice guideline,"Ball GDC, Merdad R, Birken CS, Cohen TR, Goodman B, Hadjiyannakis S, Hamilton J, Henderson M, Lammey J, Morrison KM, Moore SA, Mushquash AR, Patton I, Pearce N, Ramjist JK, Lebel TR, Timmons BW, Buchholz A, Cantwell J, Cooper J, Erdstein J, Fitzpatrick-Lewis D, Hatanaka D, Lindsay P, Sajwani T, Sebastianski M, Sherifali D, Pierre JS, Ali MU, Wijesundera J, Alberga AS, Ausman C, Baluyot TC, Burke E, Dadgostar K, Delacruz B, Dettmer E, Dymarski M, Esmaeilinezhad Z, Hale I, Harnois-Leblanc S, Ho J, Gehring ND, Kucera M, Langer JC, McPherson AC, Naji L, Oei K, O'Malley G, Rigsby AM, Wahi G, Zenlea IS, Johnston BC.",CMAJ. 2025 Apr 13;197(14):E372-E389. doi: 10.1503/cmaj.241456.,Ball GDC,CMAJ,2025,4/14/25,PMC12007946,,10.1503/cmaj.241456,pubmed_pmc,all
40843597,European S2k Guideline on Chronic Pruritus,"Weisshaar E, Müller S, Szepietowski JC, Dalgard F, Garcovich S, Kupfer J, Gimenez-Arnau A, Lambert J, Mettang T, Misery L, Savk E, Tschachler E, Wallengren J, Ständer S.",Acta Derm Venereol. 2025 Aug 22;105:adv44220. doi: 10.2340/actadv.v105.44220.,Weisshaar E,Acta Derm Venereol,2025,8/22/25,PMC12529596,,10.2340/actadv.v105.44220,pubmed_pmc,all
39781571,"Elective peri-operative management of adults taking glucagon-like peptide-1 receptor agonists, glucose-dependent insulinotropic peptide agonists and sodium-glucose cotransporter-2 inhibitors: a multidisciplinary consensus statement: A consensus statement from the Association of Anaesthetists, Association of British Clinical Diabetologists, British Obesity and Metabolic Surgery Society, Centre for Perioperative Care, Joint British Diabetes Societies for Inpatient Care, Royal College of Anaesthetists, Society for Obesity and Bariatric Anaesthesia and UK Clinical Pharmacy Association","El-Boghdadly K, Dhesi J, Fabb P, Levy N, Lobo DN, McKechnie A, Mustafa O, Newland-Jones P, Patel A, Pournaras DJ, Clare K, Dhatariya K.",Anaesthesia. 2025 Apr;80(4):412-424. doi: 10.1111/anae.16541. Epub 2025 Jan 9.,El-Boghdadly K,Anaesthesia,2025,1/9/25,PMC11885194,,10.1111/anae.16541,pubmed_pmc,all
39578415,Australasian hidradenitis suppurativa management guidelines,"Frew J, Smith A, Penas PF, Ellis E, Foley P, Rubel D, McMeniman E, Marshman G, Saunders H, Veysey E, Nicolopolous J, Spelman L, Gebauer K.",Australas J Dermatol. 2025 Mar;66(2):75-89. doi: 10.1111/ajd.14388. Epub 2024 Nov 22.,Frew J,Australas J Dermatol,2025,11/23/24,PMC11898165,,10.1111/ajd.14388,pubmed_pmc,all
40444524,ESPGHAN/NASPGHAN guidelines for treatment of irritable bowel syndrome and functional abdominal pain-not otherwise specified in children aged 4-18 years,"Groen J, Gordon M, Chogle A, Benninga M, Borlack R, Borrelli O, Darbari A, Dolinsek J, Khlevner J, Di Lorenzo C, Person H, Sanghavi R, Snyder J, Thapar N, Vlieger A, Sinopoulou V, Tabbers M, Saps M.",J Pediatr Gastroenterol Nutr. 2025 Aug;81(2):442-471. doi: 10.1002/jpn3.70070. Epub 2025 May 30.,Groen J,J Pediatr Gastroenterol Nutr,2025,5/30/25,PMC12314588,,10.1002/jpn3.70070,pubmed_pmc,all
40646132,2025 European LeukemiaNet recommendations for the management of chronic myeloid leukemia,"Apperley JF, Milojkovic D, Cross NCP, Hjorth-Hansen H, Hochhaus A, Kantarjian H, Lipton JH, Malhotra H, Niederwieser D, Radich J, Rousselot P, Saussele S, Schiffer CA, Silver R, Soverini S, Stenke L, Turkina A, Casado LF, Castagnetti F, Cervantes F, Clark RE, Cortes J, Deininger M, Hughes TP, Janssen J, Jiang Q, Kim DW, Larson RA, Mahon FX, Mauro M, Mayer J, Nicolini FE, Pane F, Rea D, Richter J, Rosti G, Saglio G, Hehlmann R.",Leukemia. 2025 Aug;39(8):1797-1813. doi: 10.1038/s41375-025-02664-w. Epub 2025 Jul 11.,Apperley JF,Leukemia,2025,7/11/25,PMC12310532,,10.1038/s41375-025-02664-w,pubmed_pmc,all
40693952,Updates on the Treatment of Drug-Susceptible and Drug-Resistant Tuberculosis: An Official ATS/CDC/ERS/IDSA Clinical Practice Guideline,"Saukkonen JJ, Duarte R, Munsiff SS, Winston CA, Mammen MJ, Abubakar I, Acuña-Villaorduña C, Barry PM, Bastos ML, Carr W, Chami H, Chen LL, Chorba T, Daley CL, Garcia-Prats AJ, Holland K, Konstantinidis I, Lipman M, Battista Migliori G, Parvez FM, Shapiro AE, Sotgiu G, Starke JR, Starks AM, Thakore S, Wang SH, Wortham JM, Nahid P.",Am J Respir Crit Care Med. 2025 Jan;211(1):15-33. doi: 10.1164/rccm.202410-2096ST.,Saukkonen JJ,Am J Respir Crit Care Med,2025,7/22/25,PMC11755361,,10.1164/rccm.202410-2096ST,pubmed_pmc,all
40824313,"[S3 guideline on sepsis-prevention, diagnosis, therapy, and follow-up care-update 2025]","Brunkhorst FM, Adamzik M, Axer H, Bauer M, Bode C, Bone HG, Brenner T, Bucher M, David S, Dietrich M, Eckmann C, Elke G, Esser T, Felbinger T, Geffers C, Gerlach H, Grabein B, Gründling M, Günther U, Hagel S, Hecker A, Henkel S, Janusan B, John S, Jörres A, Kaasch A, Kluge S, Kochanek M, Lajca A, Marx G, Mayer K, Meybohm P, Mörer O, Oppert M, Patchev V, Pletz M, Putensen C, Rahmel T, Rosendahl J, Rossaint R, Salzberger B, Sander M, Schaller S, Scharf-Janssen C, Schmitt F, Unterberg M, Weigand M, Weimann A, Weis S, Weiß B, Wolf A, Zarbock A.",Med Klin Intensivmed Notfmed. 2025 Dec;120(Suppl 2):163-231. doi: 10.1007/s00063-025-01317-1. Epub 2025 Aug 18.,Brunkhorst FM,Med Klin Intensivmed Notfmed,2025,8/18/25,PMC12708846,,10.1007/s00063-025-01317-1,pubmed_pmc,all
39955230,2024 EACTS/EACTAIC/EBCP Guidelines on cardiopulmonary bypass in adult cardiac surgery,"Wahba A, Kunst G, De Somer F, Kildahl HA, Milne B, Kjellberg G, Bauer A, Beyersdorf F, Ravn HB, Debeuckelaere G, Erdoes G, Haumann RG, Gudbjartsson T, Merkle F, Pacini D, Paternoster G, Onorati F, Ranucci M, Ristic N, Vives M, Milojevic M; EACTS/EACTAIC/EBCP Scientific Document Group.",Br J Anaesth. 2025 Apr;134(4):917-1008. doi: 10.1016/j.bja.2025.01.015. Epub 2025 Feb 14.,Wahba A,Br J Anaesth,2025,2/15/25,PMC11947607,,10.1016/j.bja.2025.01.015,pubmed_pmc,all
40245873,Physical Therapy Management of Fall Risk in Community-Dwelling Older Adults: An Evidence-Based Clinical Practice Guideline From the American Physical Therapy Association - Geriatrics,"Kirk-Sanchez N, McDonough C, Avin KG, Blackwood J, Hanke TA.",J Geriatr Phys Ther. 2025 Apr-Jun 01;48(2):62-87. doi: 10.1519/JPT.0000000000000454. Epub 2025 Apr 9.,Kirk-Sanchez N,J Geriatr Phys Ther,2025,4/17/25,PMC12533762,,10.1519/JPT.0000000000000454,pubmed_pmc,all
40499922,The 2025 British Society for Rheumatology management recommendations for ANCA-associated vasculitis,"Biddle K, Jade J, Wilson-Morkeh H, Adikari M, Yaghchi CA, Anastasa Z, Basu N, Brogan P, Chanouzas D, Dass S, D'Cruz D, Del Pero MM, Dhillon E, Ducker G, Griffin S, Hollick RJ, Jackson D, King C, Marlais M, Mason A, McAdoo S, Mewar D, Mooney J, Ntatsaki E, Pearce F, Rhodes B, Rupani H, Salama A, Siddiqui S, Smith R, Harper L; British Society for Rheumatology Guideline Steering Group.",Rheumatology (Oxford). 2025 Aug 1;64(8):4470-4494. doi: 10.1093/rheumatology/keaf240.,Biddle K,Rheumatology (Oxford),2025,6/11/25,PMC12316377,,10.1093/rheumatology/keaf240,pubmed_pmc,all
40907995,ERS/EULAR clinical practice guidelines for connective tissue disease-associated interstitial lung disease,"Antoniou KM, Distler O, Gheorghiu AM, Moor CC, Vikse J, Bizymi N, Galetti I, Brown G, Bargagli E, Allanore Y, Corte TJ, Dieudé P, Cottin V, Fisher BA, Fabre A, Giles JT, Kreuter M, Lundberg IE, Poletti V, Maurer B, Renzoni EA, Müller-Ladner U, Strek ME, Sverzellati N, Studenic P, Mohammed J, Nagavci B, Stamm T, Tonia T, Crestani B, Hoffmann-Vold AM.",Eur Respir J. 2026 Jan 22;67(1):2402533. doi: 10.1183/13993003.02533-2024. Print 2026 Jan.,Antoniou KM,Eur Respir J,2026,9/4/25,PMC12824641,,10.1183/13993003.02533-2024,pubmed_pmc,all
40419299,Hypertension Canada guideline for the diagnosis and treatment of hypertension in adults in primary care,"Goupil R, Tsuyuki RT, Santesso N, Terenzi KA, Habert J, Cheng G, Gysel SC, Bruneau J, Leung AA, Campbell NRC, Schiffrin EL, Hundemer GL.",CMAJ. 2025 May 25;197(20):E549-E564. doi: 10.1503/cmaj.241770.,Goupil R,CMAJ,2025,5/26/25,PMC12150426,,10.1503/cmaj.241770,pubmed_pmc,all
41319038,2025 FelineVMA feline oral health and dental care guidelines,"Lobprise H Co-Chair, St Denis K Co-Chair, Anderson JG, Hoyer N, Fiani N, Yaroslav J.",J Feline Med Surg. 2025 Nov;27(11):1098612X251398793. doi: 10.1177/1098612X251398793. Epub 2025 Nov 29.,Lobprise H Co-Chair,J Feline Med Surg,2025,11/30/25,PMC12665832,,10.1177/1098612X251398793,pubmed_pmc,all
40958714,Association of Anaesthetists guidelines: safe vascular access 2025,"Johnston AJ, Simpson MJ, McCormack V, Barton A, Bennett J, Chalisey A, Crane J, Curry S, Laycock H, Patel D, See T, Shubhaker J, Singh K, Thornton S.",Anaesthesia. 2025 Nov;80(11):1381-1396. doi: 10.1111/anae.16727. Epub 2025 Sep 17.,Johnston AJ,Anaesthesia,2025,9/17/25,PMC12519924,,10.1111/anae.16727,pubmed_pmc,all
40692263,2024 Update of Chinese Guidelines for Diagnosis and Treatment of Hyperuricemia and Gout Part I: Recommendations for General Patients,"Sun M, Lyu Z, Wang C, Li Y, Zhao D, Ran X, Chen H, Su B, Chang X, Liu P, Yan D, Jiang X, Chen K, Shao J, Teng X, Yao Y, Li Y, Chen Y, Cheng J, Cheng Z, Liu Z, Liu F, Li X, Yin H, Liu C, Lin HY, Chen Y, Tsai WC, Yip RML, Li C, Zhao J.",Int J Rheum Dis. 2025 Jul;28(7):e70375. doi: 10.1111/1756-185x.70375.,Sun M,Int J Rheum Dis,2025,7/22/25,PMC12280528,,10.1111/1756-185x.70375,pubmed_pmc,all
40200079,Primary antifungal prophylaxis in hematological malignancies. Updated clinical practice guidelines by the European Conference on Infections in Leukemia (ECIL),"Pagano L, Maschmeyer G, Lamoth F, Blennow O, Xhaard A, Spadea M, Busca A, Cordonnier C, Maertens J; ECIL.",Leukemia. 2025 Jul;39(7):1547-1557. doi: 10.1038/s41375-025-02586-7. Epub 2025 Apr 9.,Pagano L,Leukemia,2025,4/8/25,PMC12208874,,10.1038/s41375-025-02586-7,pubmed_pmc,all
40999951,European Society for the Study of Coeliac Disease 2025 Updated Guidelines on the Diagnosis and Management of Coeliac Disease in Adults. Part 1: Diagnostic Approach,"Al-Toma A, Zingone F, Branchi F, Schiepatti A, Malamut G, Canova C, Rosato I, Ocagli H, Trott N, Elli L, Popp A, Gianfrani C, Auricchio R, Neefjes-Borst A, Sanders DS, Cellier C, Mulder CJ, Bouma G, Lundin KEA, Sollid LM, Schumann M.",United European Gastroenterol J. 2025 Dec;13(10):1855-1886. doi: 10.1002/ueg2.70119. Epub 2025 Sep 26.,Al-Toma A,United European Gastroenterol J,2025,9/26/25,PMC12704582,,10.1002/ueg2.70119,pubmed_pmc,all
40677018,"Management of paediatric ulcerative colitis, part 1: Ambulatory care-An updated evidence-based consensus guideline from the European Society of Paediatric Gastroenterology, Hepatology and Nutrition and the European Crohn's and Colitis Organisation","Wine E, Aloi M, Van Biervliet S, Bronsky J, di Carpi JM, Gasparetto M, Gianolio L, Gordon H, Hojsak I, Hudson AS, Hussey S, van Limbergen J, Miele E, Norsa L, Olén O, Pellino G, van Rheenen P, de Ridder L, Russell RK, Shouval DS, Trindade E, Turner D, Wilson DC, Yerushalmy Feler A, Assa A.",J Pediatr Gastroenterol Nutr. 2025 Sep;81(3):765-815. doi: 10.1002/jpn3.70097. Epub 2025 Jul 18.,Wine E,J Pediatr Gastroenterol Nutr,2025,7/18/25,PMC12408984,,10.1002/jpn3.70097,pubmed_pmc,all
40169244,British Society of Gastroenterology guidelines for diagnosis and management of autoimmune hepatitis,"Gleeson D, Bornand R, Brownlee A, Dhaliwal H, Dyson JK, Hails J, Henderson P, Kelly D, Mells GF, Miquel R, Oo YH, Sutton A, Yeoman A, Heneghan MA.",Gut. 2025 Aug 7;74(9):1364-1409. doi: 10.1136/gutjnl-2024-333171.,Gleeson D,Gut,2025,4/1/25,PMC12421125,,10.1136/gutjnl-2024-333171,pubmed_pmc,all
39960858,X-Linked Hypophosphatemia Management in Children: An International Working Group Clinical Practice Guideline,"Ali DS, Carpenter TO, Imel EA, Ward LM, Appelman-Dijkstra NM, Chaussain C, Jan de Beur SM, Florenzano P, Abu Alrob H, Aldabagh R, Alexander RT, Alsarraf F, Beck-Nielsen SS, Biosse-Duplan M, Crowley RK, Dandurand K, Filler G, Friedlander L, Fukumoto S, Gagnon C, Goodyer P, Grasemann C, Grimbly C, Hussein S, Javaid MK, Khan S, Khan A, Lehman A, Lems WF, Lewiecki EM, McDonnell C, Mirza RD, Morgante E, Morrison A, Portale AA, Rao C, Rhee Y, Rush ET, Siggelkow H, Tetradis S, Tosi L, Guyatt G, Brandi ML, Khan AA.",J Clin Endocrinol Metab. 2025 Jun 17;110(7):2055-2070. doi: 10.1210/clinem/dgaf093.,Ali DS,J Clin Endocrinol Metab,2025,2/17/25,PMC12187519,,10.1210/clinem/dgaf093,pubmed_pmc,all
40721241,Guide de pratique clinique pour la prise en charge de l’obésité chez l’enfant,"Ball GDC, Merdad R, Birken CS, Cohen TR, Goodman B, Hadjiyannakis S, Hamilton J, Henderson M, Lammey J, Morrison KM, Moore SA, Mushquash AR, Patton I, Pearce N, Ramjist JK, Lebel TR, Timmons BW, Buchholz A, Cantwell J, Cooper J, Erdstein J, Fitzpatrick-Lewis D, Hatanaka D, Lindsay P, Sajwani T, Sebastianski M, Sherifali D, Pierre JS, Ali MU, Wijesundera J, Alberga AS, Ausman C, Baluyot TC, Burke E, Dadgostar K, Delacruz B, Dettmer E, Dymarski M, Esmaeilinezhad Z, Hale I, Harnois-Leblanc S, Ho J, Gehring ND, Kucera M, Langer JC, McPherson AC, Naji L, Oei K, O'Malley G, Rigsby AM, Wahi G, Zenlea IS, Johnston BC.",CMAJ. 2025 Jul 27;197(26):E776-E796. doi: 10.1503/cmaj.241456-f.,Ball GDC,CMAJ,2025,7/28/25,PMC12316699,,10.1503/cmaj.241456-f,pubmed_pmc,all
40622204,ETA guidelines for the use of levothyroxine sodium preparations in monotherapy to optimize the treatment of hypothyroidism,"Centanni M, Duntas L, Feldt-Rasmussen U, Koehrle J, Peeters RP, Razvi S, Trimboli P, Virili C.",Eur Thyroid J. 2025 Jul 31;14(4):e250123. doi: 10.1530/ETJ-25-0123. Print 2025 Aug 1.,Centanni M,Eur Thyroid J,2025,7/7/25,PMC12323320,,10.1530/ETJ-25-0123,pubmed_pmc,all
40240983,UK kidney association clinical practice guideline: update of anaemia of chronic kidney disease,"Bhandari S, Spencer S, Oliveira B, Mikhail A, Brooks O, Bryant G, Willicombe M, Baines R, Alldridge L, Haslam-England S.",BMC Nephrol. 2025 Apr 16;26(1):193. doi: 10.1186/s12882-025-04115-1.,Bhandari S,BMC Nephrol,2025,4/16/25,PMC12004666,,10.1186/s12882-025-04115-1,pubmed_pmc,all
